School Name,Location,School Year,Within District Boundary,Reported,Grade Levels,Total Enrollment,COMPLETE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Exempt DT,Exempt Pertussis,Exempt MMR,Exempt Polio,Exempt Hep B,Exempt Varicella,Location 1
MATHEIA SCHOOL,"2205 NW 67TH ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,P-5,0,,,,,,,,,,,,,"2205 NW 67TH ST
SEATTLE
(47.6775063, -122.3847072)"
CARRIAGE CREST ELEMENTARY SCHOOL,"18235 140TH AVE SE, RENTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,473,96.8,3,0.2,2.5,0.2,0,1.5,1.5,1.7,2.1,1.3,2.1,"18235 140TH AVE SE
RENTON
(47.4381801, -122.156355)"
FALL CITY ELEMENTARY,"33314 SE 42ND ST, FALL CITY, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,K -5,588,91.2,6.1,1.4,4.6,0.2,0,3.6,3.9,4.4,3.9,4.3,3.9,"BOX 220
FALL CITY
(47.569405, -121.896147)"
OUR LADY OF THE LAKE SCHOOL,"3520 NE 89TH ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,238,87.4,1.7,1.3,1.7,0,0,0.4,0.4,0.8,0.4,0,1.7,"3520 NE 89TH ST
SEATTLE
(47.6932897, -122.2894508)"
REDMOND ELEMENTARY,"16800 NE 80TH, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,732,85.9,3.1,1,2.2,0.3,0,1.9,1.9,1.6,2.2,1.5,1.8,"16800 NE 80TH
REDMOND
(47.6754525, -122.1164642)"
WEST AUBURN SENIOR HIGH SCHOOL,"401 W MAIN ST, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,9-12,204,67.6,3.9,1,2.9,0,0,2,1.5,1.5,2,2,1.5,"401 W MAIN ST
AUBURN
(47.3081073, -122.2349117)"
NEW HORIZON SCHOOL,"1111 S CARR RD, RENTON, WA",2016-17,RENTON SCHOOL DISTRICT,Y,5-12,41,90.2,9.8,9.8,0,0,0,0,0,2.4,0,4.9,4.9,"1111 S CARR RD
RENTON
(47.441906, -122.203981)"
TLC MONTESSORI,"21512 NE 16TH ST, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,P-3,9,100,0,0,0,0,0,0,0,0,0,0,0,"21512 NE 16TH ST
SAMMAMISH
(47.6240459, -122.0526057)"
SHOREWOOD ELEMENTARY,"2725 SW 116TH ST, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,597,0,1.8,1.2,0.5,0.2,0,1.8,1.8,1.8,1.8,1.8,1.8,"2725 SW 116TH ST
BURIEN
(47.4985032, -122.3678272)"
CEDAR HEIGHTS MIDDLE SCHOOL,"19640 SE 272ND STREET, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,7-8,668,93.7,5.2,0.9,3.9,0.4,0,1.6,1.5,1.9,1.5,2.1,3,"19640 SE 272ND STREET
KENT
(47.3598566, -122.0791703)"
JOHN F KENNEDY CATHOLIC HIGH SCHOOL,"140 S 140TH ST, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,9-12,837,82,2.2,0.1,1.8,0.1,0.1,1.8,1.7,1.9,1.6,1.8,1.9,"140 S 140TH ST
BURIEN
(47.4785952, -122.3310984)"
NORTHLAKE PRESCHOOL/ NORTHLAKE ACADEMY,"12931 NE 126TH PLACE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,PK-4,76,94.7,1.3,0,1.3,0,0,1.3,1.3,1.3,1.3,1.3,1.3,"12931 NE 126TH PLACE
KIRKLAND
(47.71364, -122.167654)"
MUIR ELEMENTARY,"14012 132ND AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,421,93.1,4,0.5,3.6,0,0,1.7,1.7,1.9,1.9,2.4,2.1,"14012 132ND AVE NE
KIRKLAND
(47.7266968, -122.1629857)"
THORNDYKE ELEMENTARY,"4415 S 150TH ST, TUKWILA, WA",2016-17,TUKWILA SCHOOL DISTRICT,Y,PK-5,411,91,3.6,1,2.2,0.5,0,1.9,2.2,2.4,1.9,2.2,2.2,"4415 S 150TH ST
TUKWILA
(47.468721, -122.278249)"
RAINIER BEACH HIGH SCHOOL,"8815 SEWARD PARK AV S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,697,58.7,7.9,7.5,1.4,0,0,1.4,1.4,1,1.1,1.7,7.6,"8815 SEWARD PARK AV S
SEATTLE
(47.5244347, -122.266191)"
LAURELHURST ELEMENTARY SCHOOL,"4530 46 AV NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,409,82.9,6.1,2.9,3.4,0.7,0,2.7,2.7,3.4,3.9,4.2,5.6,"4530 46 AV NE
SEATTLE
(47.6622329, -122.2778793)"
ST. LUKE SCHOOL,"17533 SAINT LUKE PL N, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,P-8,296,77.7,3.7,0,3.7,0,0,2.4,2.4,3.4,2.7,2,3,"17533 SAINT LUKE PL N
SHORELINE
(47.7561018, -122.3533168)"
SUNRISE ELEMENTARY,"14075 172 AV NE, REDMOND, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,414,92,5.6,0.5,5.1,0,0,1.4,1.4,3.1,2.7,4.1,3.4,"14075 172 AV NE
REDMOND
(47.728022, -122.10869)"
SHERWOOD FOREST ELEMENTARY SCHOOL,"34600 12TH AV SW, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,458,81.2,5.7,0.4,4.8,0.2,0.2,5,5,5.2,5.5,4.6,5.5,"34600 12TH AV SW
FEDERAL WAY
(47.2917693, -122.3507708)"
TWIN LAKES ELEMENTARY SCHOOL,"4400 SW 320TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,354,11.9,3.4,1.4,1.7,0.3,0,3.1,3.1,3.1,2.8,2.5,2.8,"4400 SW 320TH ST
FEDERAL WAY
(47.316401, -122.3889654)"
PUESTA DEL SOL ELEMENTARY SCHOOL (SUNSET BELLEVUE),"3810  132ND AVENUE SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,571,92.8,6.5,0.9,5.8,0,0,3.9,3.9,4,4.2,4.7,4.6,"3810 132ND AVENUE SE
BELLEVUE
(47.5761249, -122.1628841)"
COVINGTON ELEMENTARY SCHOOL,"17070 SE WAX ROAD, COVINGTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,553,89,3.4,1.1,2.4,0,0,2.4,2.2,2.4,2.4,1.8,2.4,"17070 SE WAX ROAD
COVINGTON
(47.353996, -122.1144864)"
BEST NIGHT SR HIGH SCHOOL,"10903 NE 53RD ST, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,0,,,,,,,,,,,,,"10903 NE 53RD ST
KIRKLAND
(47.655435, -122.195752)"
APP AT LINCOLN,"4400 INTERLAKE AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,1-5,755,93.4,5.4,2.1,3.8,0.3,0,1.6,1.6,1.7,2.4,3.3,3.4,"4400 INTERLAKE AVE N
SEATTLE
(47.6599142, -122.3400034)"
EASTSIDE PREPARATORY SCHOOL,"10635 NE 38TH PL, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,5-12,399,96.2,3.8,0.5,3.3,0,0,1.5,1.5,1.5,1.8,3.3,2.8,"10635 NE 38TH PL
KIRKLAND
(47.644026, -122.1985355)"
FINN HILL JUNIOR HIGH SCHOOL,"8040 NE 132ND ST, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,6-8,631,89.4,7.1,1.4,5.4,0.6,0.3,4,3.6,4.4,3.6,3.6,5.2,"8040 NE 132ND ST
KIRKLAND
(47.7195589, -122.2306048)"
BROOKSIDE ELEMENTARY,"17447 37TH AVENUE NE, LAKE FOREST PARK, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,K -6,503,92.2,7,1,6.2,0,0,3.2,2.4,2.8,4,5.8,4.8,"17447 37TH AVENUE NE
LAKE FOREST PARK
(47.7547936, -122.2902157)"
BRIGHT WATER SCHOOL,"1501 TENTH AVE E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,158,41.8,58.2,6.3,51.9,0,0,12,34.8,34.8,39.9,36.7,41.1,"1501 TENTH AVE E
SEATTLE
(47.6325559, -122.3207142)"
ENUMCLAW HIGH SCHOOL,"226 SEMANSKI ST SOUTH, ENUMCLAW, WA",2016-17,ENUMCLAW SCHOOL DISTRICT,Y,9-12,1353,83.9,7.2,1.6,5.8,0.4,0,4.1,3.8,3.3,3.3,3.8,4.4,"226 SEMANSKI ST SOUTH
ENUMCLAW
(47.1901752, -122.0079642)"
ISSAQUAH VALLEY ELEMENTARY,"555 NW HOLLY ST, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,K -5,653,95.7,3.1,0.8,2.3,0,0,1.7,1.2,1.7,2,2.3,2.3,"555 NW HOLLY ST
ISSAQUAH
(47.536323, -122.0453686)"
PACIFIC LEARNING ACADEMY,"22525 SE 64TH PL, ISSAQUAH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,N,6-12,0,,,,,,,,,,,,,"22525 SE 64TH PL
ISSAQUAH
(47.5438469, -122.03891)"
SANISLO ELEMENTARY SCHOOL,"1812 SW MYRTLE ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,251,92,3.6,2.8,0.8,0,0,0,0,0.4,0.8,1.6,2.8,"1812 SW MYRTLE ST
SEATTLE
(47.5397484, -122.3588131)"
MEAD ELEMENTARY,"1725 216TH AVE NE, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,627,92,4.9,1.9,2.7,0.3,0.2,3.5,3.7,3.7,3.5,3.2,4.3,"1725 216TH AVE NE
SAMMAMISH
(47.6260509, -122.053283)"
TAPROOT SCHOOL,"9131 CALIFORNIA AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,N,K-5,0,,,,,,,,,,,,,"9131 CALIFORNIA AVE SW
SEATTLE
(47.5218826, -122.3878373)"
CASCADIA MONTESSORI SCHOOL,"4239 162ND AVE NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K-4,64,100,0,0,0,0,0,0,0,0,0,0,0,"4239 162ND AVE NE
REDMOND
(47.6484745, -122.1255773)"
CHINOOK ELEMENTARY SCHOOL,"3502 AUBURN WAY S, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,492,92.1,1,0.8,0.2,0,0,0.6,0.6,0.8,0.6,0.6,0.6,"3502 AUBURN WAY S
AUBURN
(47.288255, -122.179776)"
HOLY INNOCENTS SCHOOL OF NW,"2530 S 298TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,K-12,23,95.7,4.3,0,4.3,0,0,0,4.3,4.3,4.3,4.3,4.3,"2530 S 298TH ST
FEDERAL WAY
(47.336092, -122.300227)"
GREEN GABLES ELEMENTARY SCHOOL,"32607 47TH AVE SW, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,424,88.2,5.2,1.2,4,0,0,2.1,2.1,3.8,2.6,3.8,3.3,"32607 47TH AVE SW
FEDERAL WAY
(47.3096544, -122.3927754)"
LAKE WASHINGTON HIGH,"12033 NE 80TH, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,9-12,1649,84.2,7.7,1.2,6.1,0.5,0.3,3.9,3.5,4.1,3.3,4.4,4.5,"12033 NE 80TH
KIRKLAND
(47.6726156, -122.1813467)"
ROCKWELL ELEMENTARY,"11125 - 162ND AVE NE, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,638,93.4,4.2,2.8,1.7,0.2,0,1.9,2,2.2,2.4,1.9,3,"11125 - 162ND AVE NE
REDMOND
(47.699306, -122.12509)"
LESCHI ELEMENTARY SCHOOL,"135 32 AV, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,404,84.9,4.7,3.2,2.5,0,0,1,1,1.5,1.7,2.2,4.2,"135 32 AV
SEATTLE
(47.6020907, -122.2919266)"
CLIP,"32302 NE 50TH ST, CARNATION, WA",2016-17,RIVERVIEW SCHOOL DISTRICT,Y,9-12,30,93.3,3.3,0,3.3,0,0,3.3,0,0,0,0,0,"32302 NE 50TH ST
CARNATION
(47.6515142, -121.9072521)"
RAINIER MIDDLE SCHOOL,"30620 116TH AVE SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,6-8,905,88.3,4.3,0.8,3.2,0.4,0.1,2.7,2.7,1.9,2.1,1.7,2.3,"30620 116TH AVE SE
AUBURN
(47.3273568, -122.1855431)"
MARK TWAIN ELEMENTARY SCHOOL,"2450 S STAR LAKE RD, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,583,95.9,2.7,1.5,1.2,0,0,1.9,1.9,2.2,1.7,1.7,2.4,"2450 S STAR LAKE RD
FEDERAL WAY
(47.356407, -122.298965)"
CASCADE K-8 COMMUNITY SCHOOL (ROOM NINE),"17077 MERIDIAN AVE N, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,K -8,204,72.1,27.5,4.4,23,0,0,8.8,7.8,14.2,18.1,20.6,21.1,"17077 MERIDIAN AVE N
SHORELINE
(47.7548485, -122.3368952)"
KIRKLAND CHILDRENS SCHOOL,"5311 108TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,PK-K,25,100,0,0,0,0,0,0,0,0,0,0,0,"5311 108TH AVE NE
KIRKLAND
(47.6560261, -122.1967438)"
WASHINGTON ELEMENTARY SCHOOL,"20 E ST NE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,529,93.4,2.8,0.8,1.9,0.2,0,2.5,2.3,2.5,2.3,1.5,2.5,"20 E ST NE
AUBURN
(47.3082196, -122.222254)"
SNOQUALMIE ACCESS,"8001 SILVA AVE SE, SNOQUALMIE, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,PK-12,9,33.3,0,0,0,0,0,0,0,0,0,0,0,"P.O. BOX 400
SNOQUALMIE
(47.52913, -121.82971)"
GEORGE T. DANIEL ELEMENTARY SCHOOL,"11310 SE 248TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,505,81.4,1,0.4,0.4,0.2,0,1,1,0.8,0.8,0.6,0.6,"11310 SE 248TH ST
KENT
(47.3804243, -122.1901757)"
ST. ALPHONSUS SCHOOL,"5816 15TH AVE NW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,202,96,2,0,1,0,1,1.5,1,1,1,1,1.5,"5816 15TH AVE NW
SEATTLE
(47.6713791, -122.3753993)"
TORAH DAY SCHOOL OF SEATTLE,"3528 S FERDINAND ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,83,90.4,9.6,6,3.6,0,0,3.6,3.6,2.4,2.4,9.6,2.4,"3528 S FERDINAND ST
SEATTLE
(47.558256, -122.28748)"
WHOLE EARTH MONTESSORI SCHOOL,"2930 228TH ST SE, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,P-12,60,73.3,26.7,0,26.7,0,0,15,20,25,23.3,21.7,30,"2930 228TH ST SE
BOTHELL
(47.7904575, -122.1935417)"
ROSE HILL MIDDLE SCHOOL,"13505 NE 75TH, REDMOND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,6-8,856,91.4,5.3,0.9,4.2,0.4,0.2,2.7,2.2,3.6,3.2,3.6,3.7,"13505 NE 75TH
REDMOND
(47.6701908, -122.1593152)"
GLOBAL CONNECTIONS HIGH SCHOOL,"4424 SOUTH 188TH STREET, SEATAC, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,9-12,536,72.4,12.9,11.9,0.9,0,0,0.9,0.9,1.9,0,2.1,12.3,"4424 SOUTH 188TH STREET
SEATAC
(47.4352696, -122.278089)"
SUMMIT PUBLIC SCHOOL: OLYMPUS,"210 S. HUDSON ST, SEATTLE, WA",2016-17,CHARTER,Y,9-12,132,93.2,1.5,0,1.5,0,0,1.5,1.5,1.5,1.5,1.5,1.5,"210 S. HUDSON ST
SEATTLE
(47.557995, -122.331304)"
SAGHALIE MIDDLE SCHOOL,"33914 19TH AV SW, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-8,482,60.2,1.5,0,1.5,0,0,1,1,1.2,1,0.6,0.8,"33914 19TH AV SW
FEDERAL WAY
(47.2976506, -122.3549507)"
PINE LAKE MIDDLE SCHOOL,"3200 228TH AVE SE, SAMMAMISH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,6-8,935,96.7,2.7,0.4,2,0.2,0,1.1,1.1,0.7,1.1,0.9,1.7,"3200 228TH AVE SE
SAMMAMISH
(47.579487, -122.032963)"
MCCLURE MIDDLE SCHOOL,"1915 1 AV W, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,555,81.6,9.2,5,5,0,0,2.2,2.2,2.2,3.1,4,7.2,"1915 1 AV W
SEATTLE
(47.6367366, -122.3589595)"
HAMILTON INTERNATIONAL MIDDLE SCHOOL,"4400 INTERLAKE AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,1198,83.1,11.4,5,7.7,0.2,0.1,2.9,2.9,3.3,3.7,6.3,9.8,"4400 INTERLAKE AVE N
SEATTLE
(47.6599142, -122.3400034)"
CEDARCREST HIGH SCHOOL,"29000 NE 150TH ST, DUVALL, WA",2016-17,RIVERVIEW SCHOOL DISTRICT,Y,9-12,997,78.7,8.2,0.9,7.1,0.3,0,4.3,4,4,4.8,5.3,5.3,"29000 NE 150TH ST
DUVALL
(47.736396, -121.951386)"
